PostCodes,pc1_norm
FR - GR,1.0
IT80 - SE64,0.9905475036265585
ES30 - EE48,0.9859686287356488
DE29 - GR19,0.982160602689912
DE31 - GRGR,0.9785041531396379
FR62 - GR35,0.9750010505204546
NO60 - FR50,0.9724348675322168
IT12 - NO17,0.9712599170975693
ES46 - DK26,0.970284672353365
NO91 - PL17,0.9633187228322474
IT27 - NO06,0.962698375516781
LT11 - BG82,0.9621041892592239
DK87 - NO95,0.9606821566272198
BG - FR,0.9595737545960623
NO91 - PL76,0.9590004456009624
DE21 - GR18,0.9576611904265955
DE52 - GR42,0.9572104823071259
FR67 - GR32,0.9566509350686816
FR49 - LV21,0.9536834511262909
ES17 - GR13,0.9529366085172236
DE67 - GR32,0.952198681476912
DK74 - NO95,0.9505799259352531
NO62 - CH12,0.9497029864590636
NO91 - DE24,0.9487581461580302
NL83 - GR57,0.9475273421839251
BE21 - GR42,0.946556110323861
GBAB - IT17,0.9463549833980304
FR62 - FI01,0.9455799713095171
IT20 - NO06,0.9447245276360022
NO90 - PL78,0.9438128165687389
BE89 - GR54,0.9407763130064686
NO87 - FR62,0.9402805057730119
ES30 - DK82,0.9395338156516285
NO83 - NL83,0.9395038510977427
NO99 - PL17,0.9391186622507678
PT26 - CH34,0.9390568146585765
LU53 - BG15,0.9386275947080488
DE23 - GR11,0.9384563945392018
FR46 - GR19,0.9383961655776489
SE37 - BG50,0.9374812471645585
NO08 - PL76,0.9361298898374494
NL45 - BG63,0.9357135779014651
IT40 - GBEH,0.9348292353375672
GR - CH,0.9346835450487739
ES30 - DK71,0.9340790582403415
NO28 - FR44,0.9333262285845904
IT33 - LV57,0.9328093518632133
DK70 - BG88,0.9322856644504905
LVLV - BG18,0.9303229405091915
GR59 - LT95,0.9297768981759404
LV10 - BG18,0.9280680274109101
BE77 - BG21,0.9279249334863084
GR58 - LV10,0.9276329994612599
LV42 - BG40,0.9272413566943172
NO72 - FR50,0.9268843345485783
ES28 - DK40,0.9265078033887041
IT14 - NO06,0.9260456824039244
GR59 - LT02,0.9256938341294718
FR31 - GR19,0.9256813894843292
ES25 - PL21,0.92551966422623
DK26 - ES45,0.9253408028128547
IT47 - FI01,0.925265836373094
