Route,eff
CZ-FR,1.4084166910558578
FR-AT,1.4091977391113135
PL-ES,1.4092751598017177
DK-LT,1.4103178994823093
IT-FR,1.4108495528808687
SK-ES,1.4151082763493115
NL-CH,1.4151730187634364
IT-SK,1.4161293852858055
LV-DK,1.4170005247281492
PL-IT,1.4170381977828979
GB-CH,1.4200057348697634
EE-IT,1.420619054557121
BG-HR,1.4234639728731646
NL-LV,1.4243395284850446
CH-GB,1.4243959465964193
BE-NL,1.4284534178596027
AT-FR,1.4286352229249464
LV-FR,1.4288496964502309
AT-BE,1.429499600273742
AT-CH,1.4297529564661837
LV-SI,1.430978115369749
SI-DE,1.43217100038822
NL-LT,1.4331627326797456
IT-DE,1.4379123732875567
NL-SI,1.4380353924049083
DK-AT,1.442419120703642
FR-CH,1.4429101411889242
LU-SK,1.4438778355866553
DE-FR,1.4438988995996986
GB-GB,1.444010818117434
FI-DK,1.4458987206713474
CH-HR,1.4489123037480216
SK-IT,1.4512871365383708
NL-NL,1.4551076543565753
FR-NL,1.4551520035682883
PL-EE,1.45714024730752
BE-IT,1.4615567431390732
CH-DK,1.4619286725950316
LU-EE,1.4636436585787513
GB-FR,1.464550989023586
LU-HU,1.464937976580337
DE-ES,1.465066742743151
LU-LV,1.4654608807334948
BE-LV,1.4668712799156756
PL-CZ,1.4692815749471686
SK-CZ,1.4695681191025574
HU-FR,1.4707018383720636
SE-NO,1.4714358255401538
BE-PL,1.4715450798082543
CH-FR,1.4722078769768059
NO-NO,1.4729927420976958
NL-AT,1.4740215348492018
DE-IT,1.4745733892764668
SE-FR,1.4770284441338895
IE-FR,1.4774407104875644
LT-IT,1.4786810339466077
HU-BG,1.4828795992718076
FR-LU,1.4834576207650565
HU-CH,1.4863253748807579
ES-IT,1.4890440342779805
CZ-LV,1.489184265660684
DE-CH,1.4907340691081885
FR-LV,1.4910411111847623
LU-DE,1.4917978652779873
HU-NL,1.4971207799698885
LV-IT,1.497501707580545
DK-EE,1.5019280031032767
AT-CZ,1.5042763615150472
BE-DE,1.5062012249937848
LU-NL,1.5073124965384612
PL-CH,1.5088378408331722
FR-BE,1.509858689042864
IT-ES,1.5115200880878583
HU-DE,1.5124831111354622
BE-LT,1.512989024943656
DK-GB,1.5156372102118707
CZ-PL,1.516754151323677
PL-LV,1.5207074018762265
CZ-IT,1.5216905697738285
LU-GB,1.5229329131711615
ES-SI,1.5250873069504598
DE-HR,1.5263565230718381
CZ-SK,1.526983018278063
AT-IT,1.5271699367536782
FI-PL,1.527444660315599
DE-LV,1.5297126184910237
LU-AT,1.5299466041511214
CH-SK,1.5305636383755428
FI-BE,1.5343662513700143
HU-SI,1.5354193594216692
